grating,0,0.5,0.00034
grating,0,2,0.00034
grating,0,0.5,0.0034
grating,0,2,0.0034
grating,0,0.5,0.00152
grating,0,2,0.00152
grating,90,0.5,0.00034
grating,90,2,0.00034
grating,90,0.5,0.0034
grating,90,2,0.0034
grating,90,0.5,0.00152
grating,90,2,0.00152
grating,180,0.5,0.00034
grating,180,2,0.00034
grating,180,0.5,0.0034
grating,180,2,0.0034
grating,180,0.5,0.00152
grating,180,2,0.00152
grating,270,0.5,0.00034
grating,270,2,0.00034
grating,270,0.5,0.0034
grating,270,2,0.0034
grating,270,0.5,0.00152
grating,270,2,0.00152
